1;1;433;661;788;671;732;429;554;562;681;333;527;0;299;573;158;461;0;597;21;9;73;456;224;67;445;235;442;35;0;283;3;0
2;1;415;636;800;655;745;438;567;539;605;413;443;0;270;551;173;468;19;559;25;11;43;434;291;20;410;221;459;0;0;291;18;0
3;2;415;637;804;696;792;466;574;567;621;457;449;0;292;523;177;491;0;619;14;8;86;413;288;24;436;235;425;65;0;287;10;0
4;1;444;624;818;705;753;420;523;595;594;511;537;0;294;533;184;486;27;576;46;13;127;378;246;67;354;237;451;105;0;289;10;0
5;4;455;711;819;799;817;472;628;644;629;512;468;0;265;537;184;526;18;630;23;10;115;413;294;53;402;254;481;145;0;284;10;0
6;4;423;656;847;701;729;484;618;569;636;449;448;0;297;536;195;487;17;618;24;11;114;422;337;33;436;231;457;0;0;297;2;0
7;4;437;634;791;705;760;423;511;544;652;347;511;0;293;584;162;481;0;585;19;7;85;451;296;30;433;211;447;14;0;285;2;0
8;1;456;644;801;676;753;427;510;533;580;356;523;0;309;562;165;415;21;537;26;11;128;409;337;41;484;231;443;0;0;327;5;0
9;2;480;662;815;713;799;479;658;592;645;443;545;0;320;587;154;466;0;577;0;8;107;433;327;38;406;240;446;55;0;327;6;0
10;1;502;679;849;788;855;542;669;583;602;484;491;0;280;551;174;486;29;618;56;10;173;442;330;77;410;243;442;94;0;316;4;0
11;2;464;652;836;758;809;456;625;589;614;488;476;0;274;527;208;514;17;624;26;12;129;431;293;61;386;262;424;108;0;309;21;0
12;4;494;695;850;826;838;565;660;640;617;534;481;0;320;560;196;536;23;637;24;10;64;478;372;0;507;252;451;0;0;326;24;0
13;2;449;648;832;680;696;496;638;550;614;332;542;0;316;556;210;497;0;628;25;8;65;442;314;76;454;219;452;0;0;341;14;0
14;0;493;662;830;721;781;465;591;502;619;268;598;0;315;606;178;494;14;606;26;7;128;448;349;62;476;201;440;0;0;343;2;0
15;5;472;663;848;768;861;501;647;558;643;543;483;0;299;527;173;549;0;656;0;13;119;450;310;29;452;236;407;61;0;300;18;0
16;2;486;646;831;770;849;439;639;578;578;533;482;0;290;529;196;525;31;624;47;14;129;388;259;68;396;240;439;87;0;294;10;0
17;1;476;680;823;753;789;448;558;577;607;540;581;0;288;530;162;545;0;636;0;9;76;436;314;42;392;241;430;125;0;311;17;0
18;6;478;636;836;715;785;418;559;571;617;451;595;0;325;527;202;508;29;628;33;12;64;449;288;73;460;244;458;0;0;328;26;0
19;1;492;718;848;758;811;414;581;596;691;369;601;0;285;579;162;510;0;643;26;11;65;482;287;82;546;246;463;0;0;317;17;0
20;1;442;650;830;693;756;490;643;529;607;223;571;0;277;598;144;478;20;630;24;9;66;478;367;29;467;227;428;0;0;310;18;0
21;1;479;670;835;722;786;470;619;595;653;265;611;0;341;583;191;525;0;629;0;9;87;453;352;32;411;213;454;68;0;346;4;0
22;5;454;679;824;763;827;445;606;567;618;376;553;0;305;518;195;491;33;631;27;10;143;437;290;55;429;223;431;125;0;298;23;0
23;5;466;637;811;757;813;481;635;586;572;459;451;0;266;502;211;517;0;643;11;10;102;438;316;39;413;251;437;99;0;307;24;0
24;3;485;685;848;787;817;511;681;629;623;497;488;0;314;550;178;550;19;663;31;14;127;466;327;74;522;246;453;0;0;313;17;0
25;1;529;692;848;778;815;560;695;605;629;492;463;0;323;542;218;513;0;682;34;11;114;449;316;76;503;246;473;50;0;347;20;0
26;3;543;725;850;775;810;550;717;632;657;522;525;0;319;558;223;543;27;675;35;13;85;457;375;63;548;266;468;0;0;354;13;0
27;0;469;695;845;715;761;484;654;569;672;317;609;0;315;591;173;563;0;669;0;11;90;468;393;38;413;239;454;64;0;333;13;0
28;4;482;695;833;802;847;504;660;626;686;355;495;0;315;575;218;483;17;604;13;11;141;427;331;59;457;231;492;111;0;322;0;0
29;2;482;698;827;720;809;528;675;585;636;483;469;0;350;542;227;480;18;606;27;9;109;435;290;63;397;221;502;119;0;306;19;0
30;4;510;703;818;728;759;484;600;645;695;498;556;0;337;594;219;498;24;599;33;7;84;469;307;61;484;260;509;0;0;310;16;0
31;0;514;738;850;820;862;567;705;572;739;471;433;0;308;650;110;496;0;642;33;11;125;453;328;93;560;225;456;48;0;355;8;0
