1;1;0;249;452;710;471;674;0;577;283;453;67;368;0;194;532;0;312;0;382;0;0;123;377;297;0;292;95;398;16;0;230;0;0;0
1;2;4;483;652;856;724;794;258;762;545;610;142;517;0;301;617;81;456;0;575;29;0;106;446;395;11;433;248;447;0;0;304;0;0;0
1;3;2;427;639;873;749;814;534;543;548;629;397;428;0;288;678;30;508;5;611;22;0;91;448;309;82;459;237;425;0;0;326;0;0;0
1;4;2;400;607;845;723;807;447;511;550;621;475;444;0;303;516;181;502;0;588;25;0;88;418;329;41;388;255;410;32;0;333;0;1;0
1;5;7;431;675;886;799;848;493;546;539;640;504;468;0;291;501;210;498;9;632;40;0;125;442;355;0;404;231;440;118;0;316;0;0;0
1;6;19;435;708;877;809;878;590;607;582;623;448;424;0;299;511;220;508;0;611;14;0;136;458;427;0;446;258;426;22;0;329;0;0;0
1;7;0;446;674;903;826;847;612;635;634;585;535;384;0;304;485;233;567;17;662;28;0;139;428;362;0;439;222;436;32;0;306;0;0;0
1;8;1;484;748;894;820;841;609;672;661;650;518;389;0;299;514;204;557;0;643;0;0;137;409;353;0;473;235;458;31;0;292;0;0;0
1;9;0;477;647;888;762;896;605;647;605;611;516;453;0;283;534;196;517;10;607;32;0;98;432;380;0;451;235;450;0;0;294;0;0;0
1;10;0;508;637;896;799;891;574;698;636;606;511;458;0;279;516;179;537;0;657;27;0;132;426;319;33;431;261;428;69;0;287;0;4;0
1;11;0;469;643;862;760;777;500;589;595;559;554;515;0;268;478;199;555;14;636;33;0;126;412;325;0;382;238;424;90;0;288;0;3;0
1;12;0;518;658;902;834;854;513;589;635;615;541;548;0;279;493;225;558;0;656;0;0;141;451;357;0;508;243;457;5;0;315;0;5;0
1;13;0;465;608;859;758;735;595;693;568;569;438;411;0;280;495;195;472;16;604;29;0;116;470;424;0;443;239;422;52;0;298;0;1;0
1;14;0;478;598;945;785;861;571;668;545;557;282;521;0;278;576;136;506;0;623;0;0;104;439;374;0;514;237;440;0;0;329;0;1;0
