02.04.2016;13;193;0;19;36;0;29;14;32;21;20;45;21;30;15;0;54;47;26;25;35;26;0;24;42;8;1;0;0;0;11;0;1;17;2
02.04.2016;14;211;0;18;31;0;26;18;28;16;18;40;26;33;14;0;64;42;39;35;41;29;0;29;35;31;1;6;0;0;9;0;0;18;0
02.04.2016;15;203;2;20;32;0;25;17;30;26;26;43;28;27;18;0;60;45;37;31;43;25;0;31;15;23;0;10;0;0;14;0;1;21;0
02.04.2016;16;201;0;13;37;0;30;22;29;17;23;44;30;26;13;0;54;46;32;28;28;21;0;30;21;14;0;0;0;0;5;0;0;22;0
02.04.2016;17;164;0;9;30;0;26;21;12;19;26;43;19;26;15;0;39;39;27;21;37;25;6;38;28;4;0;0;0;0;0;0;0;32;0
02.04.2016;18;162;0;13;28;0;22;19;21;11;15;37;19;33;14;0;47;35;20;15;26;29;28;22;35;0;2;0;0;0;0;0;1;24;0
02.04.2016;19;175;0;13;37;0;27;8;20;14;29;42;24;34;16;0;44;40;26;24;29;21;42;25;31;0;2;0;0;0;0;0;1;28;0
02.04.2016;20;153;0;7;27;0;43;5;11;14;12;44;17;28;12;0;19;41;8;25;11;18;25;29;18;0;0;0;0;0;0;0;0;42;0
02.04.2016;21;111;0;0;18;0;27;12;13;27;0;21;12;23;7;0;0;35;0;31;0;22;0;25;15;0;0;0;0;0;0;0;0;25;0
02.04.2016;22;96;0;0;15;0;31;9;10;19;0;20;9;17;6;0;0;24;0;18;0;13;0;26;11;0;0;0;0;0;0;0;0;26;0
02.04.2016;23;83;0;0;18;0;24;13;6;14;0;20;7;9;9;0;0;28;0;16;0;10;0;24;10;0;0;0;0;0;0;0;0;22;0
02.04.2016;24;54;0;0;11;0;12;8;10;7;0;9;0;6;5;0;0;16;0;5;0;5;0;6;13;0;0;0;0;0;0;0;0;8;0
03.04.2016;1;47;0;0;11;0;13;7;7;9;0;11;5;6;8;0;0;22;0;10;0;6;0;9;22;0;0;0;0;0;0;0;0;0;0
03.04.2016;2;87;0;0;11;0;27;14;17;14;0;21;4;7;17;0;0;27;0;14;0;6;0;11;18;0;0;0;0;0;0;0;0;0;0
03.04.2016;3;102;0;0;9;0;28;20;16;17;0;21;1;10;8;0;0;20;0;17;0;18;0;12;21;0;0;0;0;0;0;0;0;0;0
03.04.2016;4;121;0;0;15;4;39;27;11;20;0;31;8;16;8;0;1;27;1;25;0;24;1;26;16;0;1;0;0;0;0;7;0;0;0
