1;1;402;580;808;666;772;241;614;505;596;146;541;0;248;480;187;444;0;576;27;11;100;437;336;0;418;226;430;21;0;264;9;0
2;1;422;589;796;656;733;455;571;527;531;208;506;0;280;510;172;459;17;578;36;8;105;411;329;0;445;210;456;0;0;290;1;0
3;6;440;603;779;711;753;435;510;500;557;387;542;0;254;437;162;507;0;607;20;11;123;362;243;28;435;220;408;49;0;265;21;0
4;3;427;562;779;686;832;393;551;505;526;429;420;0;271;453;192;447;31;556;32;9;134;391;234;56;395;253;391;97;0;268;30;0
5;1;439;585;781;711;747;438;575;539;546;441;422;0;243;459;193;490;23;581;21;10;70;417;275;42;374;246;422;106;0;275;18;0
6;3;473;571;791;747;807;459;638;553;548;490;459;0;237;470;150;527;22;626;41;13;82;439;269;0;455;247;419;28;0;239;38;0
7;2;454;635;803;754;783;435;588;524;622;239;574;0;306;479;197;529;0;655;27;11;67;479;333;0;490;224;454;0;0;302;26;0
8;0;389;572;802;689;766;403;580;510;548;173;533;0;251;475;187;450;29;562;36;9;67;446;320;0;437;243;430;0;0;264;14;0
9;1;412;575;811;671;785;447;605;497;527;225;507;0;276;496;167;489;0;596;0;9;100;414;299;24;404;211;413;86;0;287;4;0
10;2;407;576;790;713;768;373;572;509;542;474;452;0;228;445;159;469;28;583;44;10;115;407;240;83;383;237;399;100;0;261;17;0
11;3;397;566;775;693;783;357;547;506;517;413;421;0;236;458;166;469;0;592;21;8;117;386;252;21;349;236;412;144;0;273;31;0
12;2;456;596;801;755;762;433;625;534;547;411;526;0;267;448;164;508;27;613;31;10;67;476;308;0;384;206;389;110;0;270;15;0
13;4;447;578;793;738;769;309;651;509;563;291;465;0;264;478;160;515;0;626;18;8;56;446;270;0;473;250;384;17;0;260;14;0
14;1;451;648;830;770;800;490;594;542;577;332;531;0;260;504;177;510;23;632;26;13;63;496;322;0;528;231;424;0;0;312;29;0
15;1;413;587;805;686;737;465;619;529;532;240;463;0;266;501;181;437;0;567;16;10;98;404;305;28;416;242;416;62;0;303;11;0
16;0;400;568;799;671;763;360;509;450;553;243;579;0;263;466;168;475;20;581;47;7;153;378;234;60;341;196;385;107;0;283;3;0
17;2;410;599;791;778;802;431;559;535;505;522;459;0;274;466;160;509;17;607;28;11;159;405;244;43;367;242;381;110;0;274;16;0
18;5;437;573;771;682;684;411;561;532;527;353;582;0;272;464;161;502;25;596;29;12;87;421;279;20;442;223;389;0;0;284;17;0
19;2;458;604;785;695;732;403;522;505;552;473;551;0;265;506;136;494;0;626;18;13;57;439;312;0;472;204;389;25;0;299;10;0
20;4;466;593;820;753;853;425;582;529;540;497;533;0;238;512;142;527;24;613;29;9;60;459;302;0;457;243;417;0;0;284;38;0
21;1;482;643;821;784;838;504;678;567;580;490;469;0;287;487;192;538;0;649;0;10;129;433;309;37;464;247;437;97;0;292;20;0
22;1;431;589;825;711;816;460;612;507;565;353;439;0;237;485;179;420;30;571;46;9;133;419;281;50;391;249;404;84;0;270;1;0
23;1;448;596;822;763;824;440;614;512;507;412;482;0;267;495;165;514;13;612;24;10;136;444;249;55;375;207;387;120;0;280;0;0
24;1;445;628;803;757;756;439;606;549;558;459;472;0;267;454;192;491;24;603;26;9;103;443;295;22;466;227;390;78;0;278;16;0
25;3;453;595;801;707;745;431;622;531;570;303;521;0;259;492;183;482;0;599;20;13;52;458;326;0;448;223;415;0;0;296;8;0
26;4;473;652;816;718;804;501;619;564;602;438;448;0;263;510;155;488;23;630;23;11;67;472;314;0;488;226;433;0;0;273;14;0
27;3;495;646;816;751;804;490;642;612;606;413;508;0;298;487;221;487;0;626;21;10;103;424;309;30;451;272;460;47;0;295;6;0
28;2;587;731;829;873;808;567;667;671;675;409;583;0;338;576;221;523;26;622;30;9;150;441;339;72;423;270;505;135;0;355;14;0
29;4;492;668;824;720;854;469;634;558;696;421;468;0;317;560;224;456;13;584;24;12;129;459;340;76;366;219;486;104;0;351;8;0
30;1;459;645;810;690;782;437;571;543;646;427;465;0;350;580;197;456;25;577;43;9;104;425;303;91;417;200;460;38;0;356;4;0
