1;4;518;731;880;796;855;541;698;632;692;485;459;0;359;689;147;496;24;646;32;10;70;483;321;58;516;260;515;52;0;341;5;0
2;4;529;748;918;874;930;632;760;707;699;529;460;0;378;618;229;554;0;678;0;13;100;476;383;47;539;261;525;88;0;353;12;0
3;1;522;698;898;848;915;571;743;639;660;337;467;0;333;628;231;492;19;610;19;10;152;444;375;72;465;255;508;120;0;356;10;0
4;0;500;746;880;844;873;581;724;638;681;436;450;0;357;651;198;518;0;623;0;11;108;493;340;79;421;246;485;115;0;343;6;0
5;3;502;729;863;816;829;576;694;600;731;498;429;0;373;573;235;516;25;638;41;11;86;459;325;85;526;219;490;0;0;352;42;0
6;4;523;725;827;774;787;522;715;606;694;498;492;0;346;605;224;545;0;657;21;10;125;444;354;80;453;238;521;0;0;347;31;0
7;2;520;727;894;787;881;570;739;650;676;312;586;0;368;608;198;556;24;643;28;18;81;480;380;77;481;240;510;41;0;351;29;0
8;2;565;746;869;798;776;616;737;625;774;405;563;0;437;643;237;554;0;637;21;10;134;447;380;88;443;257;544;64;0;399;18;0
9;2;581;776;892;958;936;617;745;668;789;467;525;0;387;697;187;550;23;678;40;16;158;464;371;105;510;277;534;131;0;391;35;0
10;3;533;741;875;815;863;611;708;636;727;198;591;0;405;708;199;513;0;636;0;8;124;454;410;97;387;278;527;142;0;393;9;0
11;4;489;737;867;763;822;397;809;634;691;224;527;0;389;631;223;491;15;626;27;8;97;500;381;79;416;229;492;127;0;381;10;0
12;1;533;750;882;856;842;524;794;635;691;291;533;0;368;624;215;480;0;633;24;11;123;481;361;77;487;230;513;40;0;368;3;0
13;1;548;718;845;751;806;557;734;695;667;389;507;0;354;634;250;501;32;617;24;8;98;469;355;96;492;275;539;0;0;372;23;0
14;3;543;749;862;794;860;625;780;702;723;515;437;0;376;609;204;539;0;645;18;12;112;442;363;97;450;270;524;75;0;354;20;0
15;4;571;735;890;826;934;553;782;662;703;342;527;0;366;674;223;499;21;639;22;12;137;451;355;106;441;262;529;148;0;376;9;0
16;3;555;792;889;822;892;594;748;689;744;265;587;0;406;639;272;547;0;685;19;13;147;488;400;85;425;288;531;181;0;386;18;0
17;2;517;730;866;778;793;377;856;658;742;153;559;0;373;644;249;460;23;599;22;8;98;458;393;82;459;266;536;94;0;362;18;0
18;0;553;750;893;810;841;457;838;625;736;203;587;0;376;666;231;513;0;662;23;10;90;516;391;82;508;249;528;63;0;368;1;0
19;6;527;740;879;798;854;610;739;681;682;451;508;0;374;621;219;524;22;647;26;12;118;480;392;64;514;251;526;80;0;350;21;0
21;2;552;758;858;782;881;619;761;682;731;384;537;0;397;620;244;545;0;669;23;11;121;454;399;40;457;265;525;62;0;373;19;0
20;7;540;725;905;845;901;647;785;676;689;278;610;0;359;646;216;536;20;649;33;12;157;425;354;95;410;281;500;121;0;369;23;0
22;5;568;766;889;883;909;638;792;748;723;500;558;0;381;610;300;576;0;676;15;12;121;444;375;73;439;319;540;135;0;355;31;0
23;3;572;808;912;860;845;699;783;784;761;413;571;0;406;646;269;574;23;681;27;13;92;467;387;108;484;302;559;65;0;395;39;0
24;2;533;737;899;761;830;583;770;638;717;242;545;0;398;644;246;512;0;651;19;10;94;496;415;91;477;259;537;43;0;379;26;0
25;2;542;767;888;769;851;635;778;635;706;231;574;0;426;649;265;518;15;653;29;10;105;485;402;111;472;251;546;61;0;400;4;0
26;3;516;766;901;791;879;604;757;711;745;507;423;0;378;619;288;537;0;663;0;14;119;444;367;59;499;284;566;72;0;363;22;0
27;0;541;739;861;835;872;577;737;700;697;254;604;0;351;622;248;535;30;644;30;11;179;407;315;102;427;270;516;139;0;352;21;0
28;5;545;774;893;849;866;615;732;685;741;299;591;0;354;623;232;553;0;656;19;14;122;477;386;70;425;287;510;134;0;349;29;0
29;2;544;755;898;874;844;602;728;684;733;294;601;0;406;627;297;552;25;645;26;13;120;453;332;99;476;254;565;93;0;388;19;0
30;6;551;763;816;827;844;655;744;723;845;498;468;0;452;685;243;507;15;640;129;28;185;446;430;160;543;265;610;140;0;524;5;0
